asset_id,source_file,family,width_px,height_px,mode,sha256,source_package,creation_method_status,redistribution_status
A01,IMG_1_alpha.png,F1,1024,1024,RGBA,7c514c0eae1bbcc85db641e40cdceeaf8326c522626d6e7a722ea6c0062c1721,author_provided_asset_bank,creation_method_not_documented,private_academic_use_no_open_license_asserted
A02,IMG_2_alpha.png,F1,1024,1024,RGBA,84340707363b83754b8c0636f0a44e8394e442fee4146d7006573e8212821c1d,author_provided_asset_bank,creation_method_not_documented,private_academic_use_no_open_license_asserted
A03,IMG_3_alpha.png,F1,1024,1024,RGBA,94651695138aa43cb0063d713e722cdfe7a8ebb40cbca8154eff702a1ab90e1f,author_provided_asset_bank,creation_method_not_documented,private_academic_use_no_open_license_asserted
A04,IMG_4_alpha.png,F1,1024,1024,RGBA,2e2a02fc76d2a645f5dc4083ce48b86853f77dab75b6c9a6b78a58debf9983db,author_provided_asset_bank,creation_method_not_documented,private_academic_use_no_open_license_asserted
A05,IMG_5_alpha.png,F1,1024,1024,RGBA,231a1b127933fba146f752042abfbc403324683ff638e06134e97205ebb433c9,author_provided_asset_bank,creation_method_not_documented,private_academic_use_no_open_license_asserted
A06,IMG_6_alpha.png,F1,1024,1024,RGBA,7a941697f8c43e6d6a6ed3560545e46e787860eb6a0beda4acc1a7ce554dee6e,author_provided_asset_bank,creation_method_not_documented,private_academic_use_no_open_license_asserted
A07,IMG_7_alpha.png,F1,1024,1024,RGBA,22e1bedef5d128ac67f4dbe31572df3b82819ca4ecd9ef4f6eb13fb137ed362b,author_provided_asset_bank,creation_method_not_documented,private_academic_use_no_open_license_asserted
A08,IMG_8_alpha.png,F1,1024,1024,RGBA,912db94ddb8f6b694566d3e080e311f2cebab5df4f1ed33b4efbd45580835ef0,author_provided_asset_bank,creation_method_not_documented,private_academic_use_no_open_license_asserted
A09,IMG_9_alpha.png,F2,1024,1024,RGBA,0098fb03f8853d4af49b8f4279692bcb3c18839c44158ede35bc0f46f7f5ed74,author_provided_asset_bank,creation_method_not_documented,private_academic_use_no_open_license_asserted
A10,IMG_10_alpha.png,F2,1024,1024,RGBA,544e6b77fd2b2f7f7acdd805cf37663ccacbc22fbbac1285f7886df11c92328e,author_provided_asset_bank,creation_method_not_documented,private_academic_use_no_open_license_asserted
A11,IMG_11_alpha.png,F2,1024,1024,RGBA,e60c1232de0ae7cca32f8f34f89e224080368bdb64ed25d10c0e969a93273b60,author_provided_asset_bank,creation_method_not_documented,private_academic_use_no_open_license_asserted
A12,IMG_12_alpha.png,F2,1024,1024,RGBA,de3290ed83c0fc5bdba0d9d32a3c18f4fc7cf087b610221fbc8b12ee027ca04a,author_provided_asset_bank,creation_method_not_documented,private_academic_use_no_open_license_asserted
A13,IMG_13_alpha.png,F2,1024,1024,RGBA,7ed74be8eff2202f8bc18a28c18dfd8d317acd2b15f4f1970d845ccb939325ce,author_provided_asset_bank,creation_method_not_documented,private_academic_use_no_open_license_asserted
A14,IMG_14_alpha.png,F2,1024,1024,RGBA,16449cc1ca936edc61e62d4923e4560a194693222217a0ccc5511a08f2fb02d9,author_provided_asset_bank,creation_method_not_documented,private_academic_use_no_open_license_asserted
A15,IMG_15_alpha.png,F2,1024,1024,RGBA,2f33665278e59c4431298f5b24dc87ab9248edcc1605f6656ccff9ca038d61b7,author_provided_asset_bank,creation_method_not_documented,private_academic_use_no_open_license_asserted
A16,IMG_16_alpha.png,F2,1024,1024,RGBA,9e977a8f2aff032dd5ba19d88838c6194234bfb2965c0b48888b70ef7f7d8db0,author_provided_asset_bank,creation_method_not_documented,private_academic_use_no_open_license_asserted
A17,IMG_17_alpha.png,F3,1024,1024,RGBA,76a18af0e6b1d644a36cbd13d4c899b4895b2de863942ac781b8b5cbee3354dd,author_provided_asset_bank,creation_method_not_documented,private_academic_use_no_open_license_asserted
A18,IMG_18_alpha.png,F3,1024,1024,RGBA,1ebd70376b9deddc477fd379d5e240eac3aef08b26d3b33cf6b1e4e8c2432dd1,author_provided_asset_bank,creation_method_not_documented,private_academic_use_no_open_license_asserted
A19,IMG_19_alpha.png,F3,1024,1024,RGBA,4a5226fa725d7abd6c3da83ab59ab19a15305c8ca0001060680c2b04e4b56f78,author_provided_asset_bank,creation_method_not_documented,private_academic_use_no_open_license_asserted
A20,IMG_20_alpha.png,F3,1024,1024,RGBA,c19096cc6e04bdd9bb625d2040f88ac91635f5c3ffce621d19d15f9368b2b084,author_provided_asset_bank,creation_method_not_documented,private_academic_use_no_open_license_asserted
A21,IMG_21_alpha.png,F3,1024,1024,RGBA,665ccd059102e0b58b63fe2b9e97abb574dbbc1ff00426e2c4c54a5a9d10f3cc,author_provided_asset_bank,creation_method_not_documented,private_academic_use_no_open_license_asserted
A22,IMG_22_alpha.png,F3,1024,1024,RGBA,ac3a55202821fc35d6485212a936aa8a69ff8604974b3150467568326e26589e,author_provided_asset_bank,creation_method_not_documented,private_academic_use_no_open_license_asserted
A23,IMG_23_alpha.png,F3,1024,1024,RGBA,c1237c894c4133fd7684d21bb55621a3e56d88e2196ede2a3d3ea994a5d6eb6c,author_provided_asset_bank,creation_method_not_documented,private_academic_use_no_open_license_asserted
A24,IMG_24_alpha.png,F3,1024,1024,RGBA,037f3c007c8237fcd6be76045d80eb49db8803a994a7665181750efd6dba01d9,author_provided_asset_bank,creation_method_not_documented,private_academic_use_no_open_license_asserted
A25,IMG_25_alpha.png,F4,1024,1024,RGBA,9796f388d6531bfe7456864d60fae7e41925788edbe9aa5f3903b4f7c622b30b,author_provided_asset_bank,creation_method_not_documented,private_academic_use_no_open_license_asserted
A26,IMG_26_alpha.png,F4,1024,1024,RGBA,ecb5ed129ff05642dac143b3d799e2406167e781008825561d386bbe19247828,author_provided_asset_bank,creation_method_not_documented,private_academic_use_no_open_license_asserted
A27,IMG_27_alpha.png,F4,1024,1024,RGBA,8517486f4e20f2096870c1a50b9b9d26ee494eda0cea746939a3cd0f3aac8970,author_provided_asset_bank,creation_method_not_documented,private_academic_use_no_open_license_asserted
A28,IMG_28_alpha.png,F4,1024,1024,RGBA,b9480fb241ad6374d0da53171115a1fe98e5ccc335e49f100416d9db650cd1fd,author_provided_asset_bank,creation_method_not_documented,private_academic_use_no_open_license_asserted
A29,IMG_29_alpha.png,F4,1024,1024,RGBA,edc864d6f70dc1d7b7fc4236bfb14f3886c17375153a64a99b5662bfe7430e40,author_provided_asset_bank,creation_method_not_documented,private_academic_use_no_open_license_asserted
A30,IMG_30_alpha.png,F4,1024,1024,RGBA,3f672c818361e29fa15b9bbf658ca6375579d346c1903690b12ead1e63bc4913,author_provided_asset_bank,creation_method_not_documented,private_academic_use_no_open_license_asserted
A31,IMG_31_alpha.png,F4,1024,1024,RGBA,4abce1d724d18a506281b218d1667819f115048f7548103731eb0f8713ac2154,author_provided_asset_bank,creation_method_not_documented,private_academic_use_no_open_license_asserted
A32,IMG_32_alpha.png,F4,1024,1024,RGBA,d470f84274efd217a6b1b6a49f5bcdd57b714eb579e0af87157c1ad2db9a9276,author_provided_asset_bank,creation_method_not_documented,private_academic_use_no_open_license_asserted
